SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,3904348,899027,Akron Public Schools,Public,Akron,OH,21579,09/09/2020,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,01/14/2021
2020-2021,3901377,108073258,Imagine Akron Academy,Public,Akron,OH,29,09/08/2020,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,12/03/2020
2020-2021,3905006,899028,Springfield Local School District,Public,Akron,OH,2398,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,01/12/2021
2020-2021,3904590,898707,Alexander Local School District,Public,Albany,OH,1537,10/13/2020,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/08/2021
2020-2021,3904349,898977,Alliance City School District,Public,Alliance,OH,3106,08/24/2020,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,3904988,898978,Marlington Local School District,Public,Alliance,OH,2159,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,01/12/2021
2020-2021,3904684,899312,Amanda-Clearcreek Local School District,Public,Amanda,OH,1596,08/24/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/05/2020
2020-2021,3904519,899173,Amherst Exempted Village School District,Public,Amherst,OH,3540,08/27/2020,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/29/2020
2020-2021,3904588,899174,Pymatuning Valley Local School District,Public,Andover,OH,1291,08/24/2020,On Premises,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,10/16/2020
2020-2021,3910004,898815,Anna Local School District,Public,Anna,OH,1202,08/25/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/13/2020
2020-2021,3904662,898816,Ansonia Local School District,Public,Ansonia,OH,705,09/08/2020,Hybrid,Yes,No,Unknown,Unknown,Not required,Required for all students,Yes,Yes,Never closed,Yes,10/01/2020
2020-2021,3904899,898672,Antwerp Local School District,Public,Antwerp,OH,734,08/20/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,10/16/2020
2020-2021,3905058,898979,Southeast Local School District,Public,Apple Creek,OH,1370,08/19/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,09/25/2020
2020-2021,3910002,898955,Arcadia Local School District,Public,Arcadia,OH,600,09/08/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/07/2021
2020-2021,3904663,898817,Arcanum Butler Local School District,Public,Arcanum,OH,1187,09/08/2020,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/06/2021
2020-2021,3904664,898777,Franklin Monroe Local School District,Public,Arcanum,OH,736,09/08/2020,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,01/08/2021
2020-2021,3904704,899257,Archbold-Area Local School District,Public,Archbold,OH,1467,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,3905096,899256,Four County Career Center School Dist,Public,Archbold,OH,1000,08/19/2020,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,No,09/24/2020
2020-2021,3904742,898673,Arlington Local School District,Public,Arlington,OH,599,09/08/2020,On Premises,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,10/13/2020
2020-2021,3904350,898956,Ashland City School District,Public,Ashland,OH,3365,09/08/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,10/15/2020
2020-2021,3906204,898925,Ashland Cnty West Holmes Career Ctr,Public,Ashland,OH,450,08/31/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Pending,Unknown,12/30/2020
2020-2021,3904942,898924,Crestview Local School District,Public,Ashland,OH,1070,09/08/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,09/30/2020
2020-2021,3904583,898926,Mapleton Local Schools,Public,Ashland,OH,967,08/24/2020,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/22/2020
2020-2021,3904351,899176,Ashtabula Area City School District,Public,Ashtabula,OH,3504,10/05/2020,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/28/2020
2020-2021,3904585,899175,Buckeye Local School District,Public,Ashtabula,OH,1755,09/10/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/21/2021
2020-2021,3904909,899313,Teays Valley Local School District,Public,Ashville,OH,4414,08/17/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,10/02/2020
2020-2021,3904968,898927,Seneca East Local School District,Public,Attica,OH,856,08/26/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,10/22/2020
2020-2021,3904924,899091,Waterloo Local School District,Public,Atwater,OH,1100,09/08/2020,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/23/2020
2020-2021,3904917,899092,Aurora City School District,Public,Aurora,OH,3113,08/28/2020,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/14/2020
2020-2021,3904811,899143,Avon Local School District,Public,Avon,OH,4351,08/27/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/28/2020
2020-2021,3904812,899144,Avon Lake City School District,Public,Avon Lake,OH,3940,08/31/2020,Online Only,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/23/2020
2020-2021,3904951,898722,Paint Valley Local School District,Public,Bainbridge,OH,891,08/26/2020,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/04/2021
2020-2021,3904688,899314,Liberty Union-Thurston Local School Dist,Public,Baltimore,OH,1340,08/17/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/07/2021
2020-2021,3904353,899093,Barberton City School District,Public,Barberton,OH,3700,09/02/2020,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,10/19/2020
2020-2021,3904520,899200,Barnesville Exempted Village School Dist,Public,Barnesville,OH,1463,09/01/2020,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,01/08/2021
2020-2021,3904970,898928,Hopewell-Loudon Local School District,Public,Bascom,OH,853,09/09/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,01/12/2021
2020-2021,3904630,898864,Batavia Local Schools,Public,Batavia,OH,2442,08/31/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,01/21/2021
2020-2021,3904632,898865,Clermont-Northeastern District,Public,Batavia,OH,1550,08/24/2020,On Premises,Unknown,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/28/2020
2020-2021,3904354,899083,Bay Village City School District,Public,Bay Village,OH,2475,08/24/2020,Online Only,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/06/2021
2020-2021,3904355,899096,Beachwood City School District,Public,Beachwood,OH,1655,08/24/2020,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,09/14/2020
2020-2021,3904912,898723,Eastern Local School District,Public,Beaver,OH,950,08/24/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/14/2020
2020-2021,3904724,898739,Beavercreek City School District,Public,Beavercreek,OH,8506,08/26/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/19/2021
2020-2021,3910017,899090,Bedford City School District,Public,Bedford,OH,3362,09/08/2020,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/19/2020
2020-2021,3904357,899189,Bellaire Local School District,Public,Bellaire,OH,1275,08/31/2020,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,No,12/28/2020
2020-2021,3904727,898818,Bellbrook Sugarcreek School District,Public,Bellbrook,OH,2819,08/17/2020,On Premises,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/16/2020
2020-2021,3904358,899284,Bellefontaine City Schools,Public,Bellefontaine,OH,2578,09/14/2020,On Premises,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/13/2021
2020-2021,3904807,899286,Benjamin Logan Local School District,Public,Bellefontaine,OH,1779,09/10/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/11/2021
2020-2021,3905133,899287,Ohio HI-Point Joint Vocational Schl Dist,Public,Bellefontaine,OH,1000,08/24/2020,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,10/14/2020
