SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,0200004,888659,Yupiit School District,Public,Akiachak,AK,463,08/12/2020,Online Only,No,No,No,No,Required for all staff,Required for all students,Yes,No,Closed indefinitely,Yes,01/11/2021
2020-2021,,2442904,Alaska Conference of SDA Education Dept,Private,Anchorage,AK,,09/08/2020,Hybrid,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Unknown,11/09/2020
2020-2021,0200010,888610,Aleutian Region School District,Public,Anchorage,AK,27,09/08/2020,On Premises,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,11/30/2020
2020-2021,0200180,888658,Anchorage School District,Public,Anchorage,AK,48347,08/25/2020,Online Only,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,12/28/2020
2020-2021,0200800,888657,Chugach School District,Public,Anchorage,AK,517,08/17/2020,Online Only,No,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,01/04/2021
2020-2021,0200730,888599,Chatham School District,Public,Angoon,AK,156,10/05/2020,Hybrid,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,12/03/2020
2020-2021,0200760,888660,Kuspuk School District,Public,Aniak,AK,385,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0200001,888627,Lower Kuskokwim School District,Public,Bethel,AK,4310,09/08/2020,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,09/01/2020
2020-2021,0200005,888628,Kashunamiut School District,Public,Chevak,AK,323,08/17/2020,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Unknown,Never closed,Unknown,12/30/2020
2020-2021,0200060,888629,Cordova School District,Public,Cordova,AK,342,08/24/2020,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,12/30/2020
2020-2021,0200090,888609,Craig City School District,Public,Craig,AK,620,08/31/2020,On Premises,No,Yes,No,Yes,Not required,Not required,Yes,Yes,Closed indefinitely,Yes,12/15/2020
2020-2021,0200100,888617,Delta-Greely School District,Public,Delta Junction,AK,792,08/17/2020,On Premises,Yes,Yes,Yes,Yes,Not required,Not required,Yes,No,Closed 1-5 days,No,11/04/2020
2020-2021,0200120,888631,Dillingham City School District,Public,Dillingham,AK,490,09/14/2020,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/05/2020
2020-2021,0200710,888630,Southwest Region School District,Public,Dillingham,AK,641,09/14/2020,On Premises,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12/15/2020
2020-2021,0200600,888614,Fairbanks North Star Borough Schl Dist,Public,Fairbanks,AK,13963,08/20/2020,Online Only,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/28/2020
2020-2021,0200862,888615,Yukon-Koyukuk School District,Public,Fairbanks,AK,2069,09/08/2020,Hybrid,Unknown,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/03/2020
2020-2021,0200775,888618,Yukon Flats School District,Public,Fort Yukon,AK,242,09/01/2020,On Premises,No,Unknown,No,No,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/25/2021
2020-2021,0200130,888619,Galena City School District,Public,Galena,AK,4313,08/31/2020,Hybrid,No,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,12/07/2020
2020-2021,0200070,888632,Copper River School District,Public,Glennallen,AK,479,08/31/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,10/29/2020
2020-2021,0200270,888600,Haines Borough School District,Public,Haines,AK,249,08/24/2020,On Premises,Yes,Unknown,Yes,No,Not required,Required for all students,Yes,No,Closed 1-5 days,Yes,01/25/2021
2020-2021,0200770,888620,Denali Borough School District,Public,Healy,AK,950,08/26/2020,On Premises,No,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/19/2020
2020-2021,0200300,888601,Hoonah City Schools,Public,Hoonah,AK,125,10/09/2020,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,01/21/2021
2020-2021,0200330,888594,Hydaburg City School District,Public,Hydaburg,AK,93,08/31/2020,Unknown,No,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,12/08/2020
2020-2021,,2447103,Alaska Department of Educ and Early Dev,Public,Juneau,AK,,08/20/2020,Hybrid,No,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,11/13/2020
2020-2021,0200210,888598,Juneau School District,Public,Juneau,AK,4863,08/24/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,09/01/2020
2020-2021,0200360,888602,Kake City School District,Public,Kake,AK,102,08/31/2020,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,12/09/2020
2020-2021,0200150,888607,Ketchikan Gateway Borough Schl District,Public,Ketchikan,AK,2397,09/08/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Yes,Closed 1-5 days,Yes,10/02/2020
2020-2021,0200485,888633,Lake and Peninsula School District,Public,King Salmon,AK,386,09/02/2020,Hybrid,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,01/05/2021
2020-2021,0200450,888595,Klawock City School District,Public,Klawock,AK,115,08/31/2020,On Premises,Yes,Yes,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 1-5 days,Unknown,12/11/2020
2020-2021,0200480,888634,Kodiak Island Borough School District,Public,Kodiak,AK,2323,09/08/2020,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,10/20/2020
2020-2021,0200625,888621,Northwest Arctic Borough School District,Public,Kotzebue,AK,2260,08/15/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/19/2021
2020-2021,0200520,888635,Iditarod Area School District,Public,McGrath,AK,330,08/21/2020,Hybrid,No,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Yes,01/05/2021
2020-2021,0200525,888596,Annette Island School District,Public,Metlakatla,AK,323,09/01/2020,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/20/2020
2020-2021,0200003,888636,Lower Yukon School District,Public,Mountain Village,AK,2105,08/26/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,No,Closed indefinitely,Yes,10/15/2020
2020-2021,0200030,888637,Bristol Bay Borough School District,Public,Naknek,AK,99,09/14/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,12/09/2020
2020-2021,0200540,888622,Nenana City School District,Public,Nenana,AK,1100,08/26/2020,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/20/2020
2020-2021,0200570,888623,Nome Public Schools,Public,Nome,AK,714,08/31/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,10/16/2020
2020-2021,0200510,888638,Matanuska-Susitna Borough Schl District,Public,Palmer,AK,26075,08/26/2020,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,01/14/2021
2020-2021,0200630,888603,Pelican City School District,Public,Pelican,AK,12,10/15/2020,Online Only,No,Unknown,Unknown,Unknown,Unknown,Not required,Unknown,Unknown,Unknown,Yes,12/01/2020
2020-2021,0200660,888604,Petersburg School District,Public,Petersburg,AK,447,08/31/2020,Hybrid,No,No,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,12/30/2020
2020-2021,0200680,888639,Saint Marys City School District,Public,Saint Marys,AK,180,08/19/2020,On Premises,Unknown,No,No,No,Required for all staff,Required for all students,Pending,Pending,Pending,Yes,01/04/2021
2020-2021,0200670,888640,Pribilof School District,Public,Saint Paul Island,AK,68,08/14/2020,On Premises,No,Unknown,No,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,12/04/2020
2020-2021,0200007,888641,Aleutians East Borough School District,Public,Sand Point,AK,219,08/24/2020,Hybrid,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,10/27/2020
2020-2021,0200006,107522058,Mount Edgecumbe High School District,Public,Sitka,AK,380,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0200240,888605,Sitka School District,Public,Sitka,AK,1328,08/27/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/15/2021
2020-2021,0200690,888606,Skagway School District,Public,Skagway,AK,147,08/27/2020,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Yes,No,Never closed,Yes,12/14/2020
2020-2021,0200390,888642,Kenai Peninsula Borough School District,Public,Soldotna,AK,9124,09/08/2020,Online Only,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Yes,Unknown,No,12/22/2020
2020-2021,0200715,888624,Tanana City School District,Public,Tanana,AK,40,08/20/2020,On Premises,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/19/2021
2020-2021,0200700,888608,Southeast Island School District,Public,Thorne Bay,AK,177,08/31/2020,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/09/2020
2020-2021,0200050,888625,Alaska Gateway School District,Public,Tok,AK,417,08/25/2020,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,12/30/2020
2020-2021,0200020,888643,Bering Strait School District,Public,Unalakleet,AK,1767,09/14/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,No,Closed 6-14 days,Yes,10/06/2020
2020-2021,0200720,888611,Unalaska City School District,Public,Unalaska,AK,480,08/19/2020,Hybrid,No,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,12/11/2020
2020-2021,0200610,888616,North Slope Borough School District,Public,Utqiagvik,AK,2197,08/27/2020,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,09/11/2020
2020-2021,0200780,888612,Valdez City School District,Public,Valdez,AK,653,08/25/2020,On Premises,Yes,Yes,No,No,Required for all staff,Not required,Yes,Yes,Never closed,Yes,12/15/2020
2020-2021,0200810,888597,Wrangell Public Schools,Public,Wrangell,AK,292,09/08/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/26/2021
2020-2021,0200840,888613,Yakutat School District,Public,Yakutat,AK,111,09/08/2020,Hybrid,No,Unknown,No,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,01/21/2021
2020-2021,0101740,899893,Henry County School District,Public,Abbeville,AL,2650,09/08/2020,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/13/2021
2020-2021,0100190,91099970,Alabaster City School District,Public,Alabaster,AL,6277,08/19/2020,Hybrid,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,12/30/2020
2020-2021,0100005,899928,Albertville City School System,Public,Albertville,AL,4995,08/24/2020,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/02/2020
2020-2021,0100030,900000,Alexander City Schools,Public,Alexander City,AL,3055,09/08/2020,Online Only,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,01/14/2021
2020-2021,0100060,899904,Andalusia City School District,Public,Andalusia,AL,1760,08/17/2020,Hybrid,Unknown,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/14/2021
2020-2021,0100930,899903,Covington County School District,Public,Andalusia,AL,3310,08/17/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,10/15/2020
2020-2021,0100090,899916,Anniston City School District,Public,Anniston,AL,2073,08/05/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,01/21/2021
2020-2021,0100540,899917,Calhoun County School District,Public,Anniston,AL,9881,08/18/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/29/2020
2020-2021,0100100,900001,Arab City School District,Public,Arab,AL,2369,08/28/2020,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,10/06/2020
2020-2021,0100750,899919,Clay County Board of Education,Public,Ashland,AL,2143,08/25/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/06/2020
2020-2021,0103062,899929,Saint Clair County School District,Public,Ashville,AL,9320,08/28/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/20/2020
2020-2021,0100120,899946,Athens City School District,Public,Athens,AL,3874,08/17/2020,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/29/2020
2020-2021,0102100,899945,Limestone County School District,Public,Athens,AL,9470,08/10/2020,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Unknown,10/28/2020
2020-2021,0100180,899930,Attalla City School System,Public,Attalla,AL,1483,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0100210,899856,Auburn City School District,Public,Auburn,AL,9371,08/10/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/23/2020
2020-2021,0100270,899876,Baldwin County Public School System,Public,Bay Minette,AL,29838,09/14/2020,Unknown,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Unknown,12/28/2020
2020-2021,0100330,899973,Bessemer City Schools,Public,Bessemer,AL,5263,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0100018,107518251,Alabama School of Fine Arts District Ofc,Public,Birmingham,AL,350,08/17/2020,Hybrid,Unknown,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,No,12/09/2020
2020-2021,0100390,899987,Birmingham City Schools,Public,Birmingham,AL,24211,09/08/2020,Hybrid,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,12/23/2020
2020-2021,0100007,899960,Hoover City Schools,Public,Birmingham,AL,14108,08/21/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,01/14/2021
2020-2021,0101920,899957,Jefferson County Board of Education,Public,Birmingham,AL,38423,09/21/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,0103270,899961,Tarrant City Schools,Public,Birmingham,AL,1181,08/25/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/06/2020
2020-2021,0100012,29489616,Boaz City School System,Public,Boaz,AL,2426,08/20/2020,On Premises,Unknown,Unknown,Yes,Yes,Unknown,Required for high school students only,Yes,Yes,Unknown,Yes,11/04/2020
2020-2021,0100450,899871,Brewton City School District,Public,Brewton,AL,1176,08/10/2020,Hybrid,Yes,Yes,Unknown,Yes,Not required,Unknown,Yes,Yes,Never closed,Yes,01/06/2021
2020-2021,0101350,899872,Escambia County School District,Public,Brewton,AL,4931,09/08/2020,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,12/30/2020
2020-2021,0100690,899862,Choctaw County School System,Public,Butler,AL,1615,10/08/2020,Hybrid,Unknown,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/28/2020
2020-2021,0103510,899881,Wilcox County School District,Public,Camden,AL,2015,09/03/2020,Online Only,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11/03/2020
2020-2021,0102730,899966,Pickens County School District,Public,Carrollton,AL,2966,09/26/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/18/2020
2020-2021,0100630,899931,Cherokee County School District,Public,Centre,AL,4792,08/19/2020,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Unknown,10/07/2020
2020-2021,0100360,899974,Bibb County Board of Education,Public,Centreville,AL,3636,08/18/2020,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/24/2020
2020-2021,0103480,899877,Washington County School District,Public,Chatom,AL,3065,08/31/2020,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,10/19/2020
2020-2021,0100188,91848681,City of Chickasaw School System,Public,Chickasaw,AL,1172,08/27/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/29/2020
2020-2021,0100660,899975,Chilton County Board of Education,Public,Clanton,AL,8519,09/09/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Unknown,Unknown,Unknown,Never closed,Yes,10/29/2020
2020-2021,0100300,899937,Barbour County School District,Public,Clayton,AL,787,09/08/2020,Online Only,No,No,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,12/15/2020
2020-2021,0103030,899976,Shelby County School District,Public,Columbiana,AL,21248,08/31/2020,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,12/23/2020
2020-2021,0100022,107836865,Sequel Tsi Courtland LLC,Public,Courtland,AL,45,08/10/2020,On Premises,No,No,No,No,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,No,01/04/2021
2020-2021,0100990,899978,Cullman City School District,Public,Cullman,AL,3180,08/19/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,01/21/2021
2020-2021,0101020,899977,Cullman County School District,Public,Cullman,AL,10624,08/19/2020,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,01/20/2021
2020-2021,0103210,899857,Tallapoosa County Board of Education,Public,Dadeville,AL,3065,08/31/2020,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/14/2020
2020-2021,0101080,899894,Daleville City School District,Public,Daleville,AL,1106,08/28/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,01/14/2021
2020-2021,0101170,899943,Decatur City Schools,Public,Decatur,AL,9052,08/12/2020,Online Only,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,12/30/2020
2020-2021,0102480,899944,Morgan County School District,Public,Decatur,AL,8572,08/12/2020,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,10/29/2020
2020-2021,0101200,899882,Demopolis City School District,Public,Demopolis,AL,2330,08/20/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/01/2020
2020-2021,0101230,899891,Dothan City Schools,Public,Dothan,AL,10312,09/08/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,12/30/2020
2020-2021,0101770,899892,Houston County School District,Public,Dothan,AL,7020,09/08/2020,Hybrid,Unknown,Yes,Unknown,Unknown,Required for all staff,Not required,Yes,Unknown,Closed indefinitely,Yes,10/28/2020
2020-2021,0103580,899971,Winston County School District,Public,Double Springs,AL,2921,08/20/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for high school students only,Unknown,Unknown,Never closed,Yes,10/20/2020
2020-2021,0100810,899895,Coffee County School District,Public,Elba,AL,2065,08/10/2020,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/12/2021
2020-2021,0101260,899896,Elba City Schools,Public,Elba,AL,820,08/10/2020,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,10/01/2020
2020-2021,0101320,899897,Enterprise City School District,Public,Enterprise,AL,7036,08/06/2020,Hybrid,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/11/2020
2020-2021,0101410,899938,Eufaula City Schools,Public,Eufaula,AL,5635,08/20/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/19/2020
2020-2021,0101680,899967,Greene County School District,Public,Eutaw,AL,1742,08/19/2020,Online Only,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,10/23/2020
2020-2021,0100870,899902,Conecuh County School District,Public,Evergreen,AL,2336,08/20/2020,Online Only,Yes,No,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,10/09/2020
2020-2021,0101440,899979,Fairfield City Board of Education,Public,Fairfield,AL,1940,08/24/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,11/02/2020
2020-2021,0101470,899972,Fayette County School District,Public,Fayette,AL,2455,08/20/2020,On Premises,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11/04/2020
2020-2021,0101530,899947,Florence City School District,Public,Florence,AL,4590,08/20/2020,Hybrid,Unknown,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,08/19/2020
2020-2021,0102010,899948,Lauderdale County School District,Public,Florence,AL,9155,08/24/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for high school students only,Yes,Yes,Never closed,Yes,11/05/2020
2020-2021,0101560,899933,Fort Payne City School District,Public,Fort Payne,AL,3195,08/12/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,0101380,899927,Etowah County School District,Public,Gadsden,AL,9434,08/17/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/07/2020
2020-2021,0101620,899936,Gadsden City Board of Education,Public,Gadsden,AL,5307,08/17/2020,Online Only,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/05/2020
2020-2021,0101640,899898,Geneva City School District,Public,Geneva,AL,1307,08/24/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/14/2020
2020-2021,0101660,899899,Geneva County School District,Public,Geneva,AL,2746,08/28/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Not required,Yes,Yes,Unknown,Unknown,01/13/2021
2020-2021,0100020,107518344,The Boyd School,Public,Green Pond,AL,10,08/19/2020,Hybrid,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,No,Unknown,Yes,12/01/2020
2020-2021,0101710,899883,Hale County School District,Public,Greensboro,AL,3119,08/28/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,10/14/2020
2020-2021,0100510,899905,Butler County School District,Public,Greenville,AL,3101,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Pending,Pending,Yes,01/14/2021
2020-2021,0100720,899873,Clarke County School District,Public,Grove Hill,AL,2951,09/01/2020,On Premises,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/06/2020
2020-2021,,105815173,Gulf Shores City Schools,Public,Gulf Shores,AL,2326,08/12/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/12/2021
2020-2021,0101690,899934,Guntersville City Schools,Public,Guntersville,AL,1980,08/25/2020,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/15/2020
2020-2021,0100006,899935,Marshall County School District,Public,Guntersville,AL,6259,08/20/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,01/13/2021
2020-2021,0101720,899939,Haleyville City Schools,Public,Haleyville,AL,1959,08/20/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Not required,Unknown,Unknown,Unknown,Yes,01/21/2021
2020-2021,0102310,899940,Marion County Schools,Public,Hamilton,AL,3512,08/24/2020,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/20/2020
2020-2021,0101730,899949,Hartselle City School District,Public,Hartselle,AL,3399,08/10/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,11/04/2020
2020-2021,0102160,899906,Lowndes County Public Schools,Public,Hayneville,AL,2130,08/26/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Never closed,Yes,01/11/2021
2020-2021,0100780,899920,Cleburne County Schools,Public,Heflin,AL,3100,08/13/2020,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/25/2021
2020-2021,0101760,899963,Homewood City Schools,Public,Homewood,AL,3990,08/19/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Pending,Yes,01/15/2021
2020-2021,0101800,899926,Huntsville City School District,Public,Huntsville,AL,25327,09/10/2020,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/28/2020
2020-2021,0102220,899925,Madison County School District,Public,Huntsville,AL,20711,09/14/2020,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,No,Unknown,Never closed,Yes,12/08/2020
2020-2021,0101860,899921,Jacksonville City School District,Public,Jacksonville,AL,1635,08/18/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,01/08/2021
2020-2021,0101890,899970,Jasper City School District,Public,Jasper,AL,2731,08/20/2020,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/16/2020
